Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funded,Funding-Date,Funding-Stage,Total-Funding,Maturity,Inc.-Compass,Hero
subsclife,"Online rental platform offering furniture. Its product offerings include chairs, kitchen storage, table, sofa, tv board, and more. The user can book the products by mentioning the rental period on the platform.",https://subsclife.com,Space Management,Furnishings & Appliances​,(1) New services for a new age,2016,0,Japan,Global,Yes,#########################,Seed,$0.00,Nascent,TRUE,
Conjure,"Conjure is an online rental platform offering furniture. Its product offerings include beds, chairs, coffee & tables, shelves & consoles, dining tables, dressers, lighting, office desks, sofas, and more.",https://conjure.co,Space Management,Furnishings & Appliances​,(1) New services for a new age,2015,0,United States,Global,Yes,#########################,Seed,"$9,000,000.00",Emerging,TRUE,
Mobley,"Mobley is an online portal for renting furniture. The product catalog includes beds, sofas, chairs, office desk, dining tables, coffee tables, lighting & appliances, and more. The platform provides designer-curated collections of different rooms for users to select and rent the furniture.",http://getmobley.com,Space Management,Furnishings & Appliances​,(1) New services for a new age,2017,0,United States,Global,Yes,#########################,Seed,$0.00,Nascent,TRUE,FALSE
airRoom,AirRoom is an online platform for furniture rental. Users can subscribe for periodic rental plans and are also allowed to buy the products. The platform additionally provides curated interior designing projects and comparisons between different furniture companies. Claims to provide free shipping & assembling services.,https://air-room.jp,Space Management,Furnishings & Appliances​,(1) New services for a new age,2018,0,Japan,Global,Yes,"Saturday, 0 January 1900",Funding Raised,$0.00,Emerging,TRUE,FALSE
RIOS Corporation,"Provider of AI-based robotic solutions. The product offerings include a robot a factory automation solution to automate and perform human-level tasks. It also provides services such as building, deploying, and maintaining full robotic work cells.",https://www.rios.ai/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2018,0,United States,Global,Yes,"Tuesday, 22 February 2022",Series A,33.000.000,Nascent,TRUE,FALSE
Flashhold,"Flashhold provides AGVs that can be used for automation of material movement in warehouses. The robots work in a Goods-to-man model where individual AGVs bring shelves to picking stations where an employee can pick the object ordered. The robot is capable of intelligent navigation, and receives all instructions from a central system, which manages individual orders and subsequent fulfillment. The robot has been successfully deployed at industrial warehouses and malls for material movement.",http://www.flashhold.com,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2014,0,China,Global,Yes,"Thursday, 17 December 2020",Series C,135.000.000,Emerging,TRUE,FALSE
EasyEcom,"EasyEcom provides omnichannel inventory management solutions for e-tailers. The company offers products such as inventory control, omnichannel commerce, warehouse management, accounting, reconciliation, operations and reporting & analytics. Inventory control is a technology platform which automates multi-channel inventory. It also helps in inventory forecasting and planning. Omnichannel commerce platform is used for multi-channel order and inventory management. Also offers solutions for accounting, returns management, analytics and reporting and others. Clients include Killer, CASIO, Provogue and others.",https://www.easyecom.io/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2014,10,India,Global,Yes,"Thursday, 6 January 2022",Series A,451.509,Emerging,TRUE,FALSE
SpaceFill,"Provider of cloud-based end-to-end warehouse management solutions. The company offers solutions for managing 3PL warehouses. It helps in managing logistics and control tower operations. It includes order management, inventory visibility management, cross-dock management, stock inventory management, etc.",https://www.spacefill.eu/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2018,0,France,Europe,Yes,"Wednesday, 16 March 2022",Series B,36.836.360,Emerging,TRUE,FALSE
Godamwale,SaaS-based on-demand warehousing and fulfillment service provider. It offers 3PL and fulfillment solutions with its network of tech-enabled warehouses and fulfillment centers across India with the advantage of a cutting-edge platform and a team of logistics experts.,https://godamwale.com,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,0,India,Global,Yes,"Wednesday, 15 September 2021",Seed,1.120.989,Nascent,TRUE,FALSE
OptiFunder,OptiFundr is a provider of AI & cloud-based warehouse management systems. It uses machine learning and APIs to connect the mortgage originator's loan origination system with warehouse lenders. It creates and uploads funding request packages for loans.,https://optifunder.com,Finance​,Financing,(5) Easing cash flow financing for businesses,2018,0,United States,Global,Yes,"Tuesday, 23 November 2021",Series B,25.000.000,Emerging,TRUE,FALSE
Pivotchain Solutions,"Provider of an AI-based surveillance system for monitoring customers. The product portfolio includes a video analytic tool for real-time event detection. It also provides a multi-language speech recognition solution with real-time voice analysis for voice platforms and call centres. The biometric face recognition system can detect gender, lip movement, and eye blink. Industries using the solutions are smart cities, airports, telecom, finance, logistics, and security applications.",https://pivotchain.com,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2017,0,India,Global,Yes,"Thursday, 20 May 2021",Seed,776.832,Nascent,TRUE,FALSE
Ruiyun Cold Chain,"Provider of cold chain distribution and storage services. It offers solutions for barcode labeling, inventory scrapping, delivery note printing, loading & unloading, warehouse management, cold chain home delivery, price insuring, and more.",https://www.rycc.net,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2020,0,China,Global,Yes,"Wednesday, 4 August 2021",Seed,33.667.800,Nascent,TRUE,FALSE
Blue Core Technology,"Provider of AI-enabled robotic vision systems for warehouses. The company uses computer vision and artificial intelligence technology to give robots visual perception ability. Its offering includes armed robots, pallet handling robots, bin picking robots, projector robots, 3D movement robots, and warehouse automation robots.",http://lanxincn.com,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2016,0,China,Global,Yes,"Tuesday, 16 November 2021",Series B,15.656.100,Emerging,TRUE,FALSE
StowNest,Platform offering on-demand storage space rental services. The solution helps in creating a storage service plan for users. It provides ID & barcoding services for product identity. The products are stored with motion-sensing camera services.,https://stownest.com,Transport & Logistics ,Logistics​,(14) Storing goods for the over-consumed,2018,23,India,Global,Yes,"Wednesday, 1 September 2021",Seed,158.826,Nascent,TRUE,FALSE
Rightbot,"Provider of an AI & web-based warehouse automation platform. The company offers robotic solutions for managing warehouse operations. Its features include autonomous replenishment, auditing, inventory management, and more.",https://www.rightbot.in/,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2020,0,India,Global,Yes,"Thursday, 12 November 2020",Seed,257.22,Nascent,TRUE,FALSE
BureauOne,"BureauOne is an online rental platform offering furniture for offices. The company claims to rent their furniture based on 3 categories; for startups, for enterprises, and for remote work. It also claims that it offers 3D visualizations based on the office's plans and users can browse from 1000s of products and create a customized quote and get them delivered within 7 days.",http://www.bureauone.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2013,0,United States,Global,Yes,"Saturday, 0 January 1900",Funding Raised,$0.00,Mature,TRUE,FALSE
Lyght Living,"Lyght Living is an online rental platform for home furniture. Users can select and rent products across categories like furniture sets, tables, brads, mattresses, sofas, lighting equipment, and more. The company offers brands like Vitra, Hay, Muuto, and others.",http://lyght-living.de,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2018,0,Germany,Europe,Yes,"Saturday, 0 January 1900",Funding Raised,$0.00,Emerging,TRUE,FALSE
Design Cafe,"Design Cafe is an online booking platform for interior design services. Users can browse and select interior designs of homes from various design templates such as modular kitchen designs, wardrobe designs, bedroom designs, living room designs, and more on the platform. Users can book consultations via the platform with design professionals. The company provides tools for users to visualize their homes using virtual reality including customization of the paint color of walls, windows, curtains, and other accessories. The company has partnered with Hettich, REHAU, and Elica among others.",https://www.designcafe.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2015,599,India,Global,Yes,"Tuesday, 1 June 2021",Series B,"$59,184,710.00",Emerging,TRUE,FALSE
Homepolish,Homepolish is an online platform providing interior designers on-demand. The company connects its users with a pre-vetted interior-designer who collaborates with the users to create a custom design proposal and a catalog of products for purchase. The company provides end-to-end product management services including purchasing concierge services.,https://homepolish.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2012,0,United States,Global,Yes,"Friday, 22 January 2016",Series A,"$16,973,311.00",Emerging,TRUE,FALSE
3Kongjian,3Kongjian is an online marketplace to find home interior designers. Users can find the portfolio and the designs offered by various designers on the platform and book their services. Has reviews and ratings for each designer based on which users can curate their results. Records feedback from the past customers and keeps the new users intimated about designer's track record. Also takes a security deposit from the designers to make sure that he/she will not back out in the middle of the job.,https://www.3kongjian.com/city/?redirect=/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2014,0,China,Global,Yes,"Monday, 12 January 2015",Series A,"$10,000,000.00",Emerging,TRUE,FALSE
Furnishr,Furnishr (rebranded from Four Walls) is an online furnishings service provider. It creates and sells its room designs and sources all its furniture and decor items from manufacturers. Users can purchase the room designs and get it installed by the Furnishr team within 5-15 working days. It provides its services in all the cities of Canada and the USA.,https://furnishr.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2015,0,Canada,Global,Yes,"Saturday, 30 December 1899",Seed,$0.00,Emerging,TRUE,FALSE
Infurnia,Infurnia is a provider of in-store technology solution provider for furniture retailers. It provides room virtualization technology that enables consumers to create a digital replica of their rooms to customize the look of furniture in the room. Also offers in-store technologies for retailers to exhibit their furniture catalog to retail customers. The company offers the solution on subscription-based.,https://www.infurnia.com/,Space Management​,Space Design & Management​,(1) New services for a new age,2014,0,India,Global,Yes,"Saturday, 30 December 1899",Seed,"$1,040,091.00",Emerging,TRUE,FALSE
Lexset,"Lexset provides patented AI-based tools enabling context-sensitive spatial search for design solutions, products and assembly processes using artificial intelligence and augmented reality. The company offers four tools namely LexSight, LexGuide, LexTile, and LexSemble. LexSight enables spatial search using images that users have taken with their smartphone and provides product suggestions based on items they have in their home. LexGuide succedes LexSight by providing a catalog of offerings from different retailers. LexTile allows the user to visualize tile in real space thereby helping them make a better evaluation before purchasing. LexSemble is a DIY tool for making furniture in augmented reality. The company is a part of Intellectual Ventures' incubator program, Invention Science Fund.",https://www.lexset.ai/,Space Management​,Space Design & Management​,(1) New services for a new age,2017,0,United States,Global,Yes,"Saturday, 30 December 1899",Seed,"$70,500.00",Nascent,TRUE,FALSE
DecorMatters,"DecorMatters is an Augmented Reality based visualization application. The app is available for iOS and helps users, designers, and businesses to visualize furniture for designing their home interiors. The platform allows customers to add, delete, rotate, and resize home furnishing products and also enables them to collaborate the home designs with their family, friends and home designers. The company partners with home furnishing brands and local stores and helps them in marketing their products.",https://decormatters.com,Space Management​,Space Design & Management​,(1) New services for a new age,2016,0,United States,Global,Yes,"Monday, 9 December 2019",Series A,"$11,000,000.00",Nascent,TRUE,FALSE
Roomle,"Roomle is a brand new kind of market place for planning and furnishing. It combines, in a hands-on way, the search and acquisition of premium products for the living space with a universal planning and furnishing tool. The user configures standard furniture and existing brand products according to his preferences and receives a tailored offer based on his choice of style, price range, size and colours. - With the certainty that the chosen furniture reliably fits into the room. Markerless augmented reality enables users to view the products in their own homes on smartphones and tablets. Launched its virtual reality version on VR ONE headset from ZEISS in Apr'15; using which users can immersively-navigate their designed spaces with a controller. The revenue stream in the initial phase adds up from catalogue placements, affiliate and advertising proceeds. Additional revenue from a freemium program for the mobile version is projected.",https://www.roomle.com/en,Space Management​,Space Design & Management​,(1) New services for a new age,2014,0,Austria,Europe,Yes,"Saturday, 30 December 1899",Seed,"$1,300,000.00",Emerging,TRUE,FALSE
Machine Honey Business,"E-distributor offering IT equipment for retailers on a rental basis. The product catalog includes laptops, printers, projectors, desk chairs, smartphones, accessories, and more.",https://www.jimiqizu.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2019,0,China,Global,Yes,"Monday, 14 October 2019",Series A,"$42,317,900.00",Nascent,TRUE,FALSE
Aite Rent,"Aite Rent is an online rental platform for office IT equipment. Product catalogue includes office computers, projectors, printers, mobiles & tablets, accessories and others. The company also offers services like enterprise training & development, software customization, and more.",https://www.aiterent.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2018,0,China,Global,Yes,"Friday, 1 June 2018",Seed,"$4,361,849.00",Nascent,TRUE,FALSE
Swathly,"Swathly is an online B2B marketplace for print-related products &amp; services. It is developing detailed profiles of printers' businesses and machinery and is using its proprietary indexing system to enable the print shop owners' to identify the best suppliers for the required products (machines, spare parts &amp; consumables) as well as print-related services they need. It also provides technical advice to the shop owners. As of November 2016, it has launched its services.",https://www.swathly.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2015,0,Israel,Global,Yes,"Wednesday, 13 November 2019",Seed,$0.00,Emerging,TRUE,FALSE
Branch,"Internet-first brand offering multi-category furniture. Its product offerings include tables, desks, chairs, cabinets, and more for home offices and companies. The company offers ten years of warranty on all the products. It allows the user to configure based on the requirement.",https://www.branchfurniture.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2018,0,United States,Global,Yes,"Monday, 11 April 2022",Series A,"$14,000,000.00",Nascent,TRUE,FALSE
Fōmcore,,https://fomcore.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2016,0,United States,Global,Yes,"Friday, 5 March 2021",Seed,"$79,050.00",Nascent,TRUE,FALSE
Taiga Concept,,https://www.taigaconcept.fi/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2015,0,Finland,Europe,Yes,"Friday, 1 June 2018",Seed,"$67,326.00",Emerging,TRUE,FALSE
Novi,"Provider of software solution for product insights. The platform connects brands, manufacturers, and suppliers to verify claims and help launch products. The platform helps to find ingredient documentation, claims in real-time and also source sustainable ingredients, and connect with suppliers. It also allows to showcase and sell the materials to the buyers directly on the Novi platform.",https://www.noviconnect.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2019,0,United States,Global,Yes,"Thursday, 3 February 2022",Series B,"$51,650,000.00",Emerging,TRUE,FALSE
PICKUP,"Pick Up provides a platform for on-demand same-day delivery services. It is a crowdsourced platform connecting pick-up truck or van owners with people looking to move goods & products around. Users can request and book vehicles via their website by providing the delivery address for transportation of goods. Clients include Trane, American Standard, HomeGoods, and others.",https://pickupnow.com,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2014,88,United States,Global,Yes,"Monday, 2 May 2022",Series B,30.000.000,Emerging,TRUE,FALSE
Malomo,"Malomo is a cloud-based shipment tracking solutions for eCommerce brands. Provides a branded shipment tracking interface (API) that integrates with brands' own websites. Offers multi-carrier integration (UPS, USPS, FedEx & DHL), dedicated post-purchase strategies, Shopify integration, analytics & reporting, and more.",https://gomalomo.com,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2018,0,United States,Global,Yes,"Monday, 22 March 2021",Seed,8.400.000,Nascent,TRUE,FALSE
moEVing,Provider of electronic mobility solutions for last-mile delivery. The company offers electric delivery vehicles for freight transportation. It also provides charging station networks to deliver freight to the last mile.,https://moeving.com,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2021,0,India,Global,Yes,"Tuesday, 31 August 2021",Seed,6.000.000,Nascent,TRUE,FALSE
StreetDrone,"StreetDrone is a developer of autonomous delivery vehicles. The company provides a hardware & software integration platform for developing street-ready self-driving cars. The StreetDrone Intelligent Development platform (SID) is an open-source software primarily focused on the higher-education market. The company enables self-driving software development, deployment, and testing on the street-legal Renault EV framework with built-in sensors & computational hardware known as the StreetDrone ONE.",https://www.streetdrone.com/,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2017,0,United Kingdom,Europe,Yes,"Tuesday, 14 September 2021",Seed,4.149.030,Nascent,TRUE,FALSE
Ducktrain,"Ducktrain is a manufacturer of autonomous electric carts. They serve as AGVs and can be used both indoors and outdoors. They have aluminium frames and suspension systems. They can autonomously follow pedestrians and vehicles, and have applications in logistics and transportation.",https://ducktrain.io,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2018,0,Germany,Europe,Yes,"Tuesday, 7 December 2021",Seed,1.830.000,Nascent,TRUE,FALSE
MightyFly,"Provider of drone-based solutions for logistics. It offers an autonomous, eVTOL aircraft with a cargo capacity providing range and speed. It has use cases in transportation applications for businesses and governments.",http://mightyflying.com,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2019,0,United States,Global,Yes,"Tuesday, 20 April 2021",Seed,5.100.000,Nascent,TRUE,FALSE
Zedify,"Zedify provides tech-enabled last-mile delivery services with zero emissions to e-commerce and other local businesses in the UK. The company has its own fleet of bicycles, electric vans, and tricycles. The company has also built its own software platform which has features such as route planning & optimization, barcode scanning, proof of delivery, and real-time tracking.",https://www.zedify.co.uk/,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2018,0,United Kingdom,Europe,Yes,"Wednesday, 19 January 2022",Seed,2.007.858,Nascent,TRUE,FALSE
eShipz,"EShipz is a provider of cloud-based shipping solutions for SMBs & Enterprises. It includes management of multi-channel orders, logistics, NDR and returns management, delivery and prescriptive analytics(helps to reduce frauds, returns), supply chain visibility, bulk order processing, and more. It also offers dashboard analytics to understand the patterns of the eCommerce orders, customers & their associated matrix of all processed orders.",https://eshipz.com,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2019,26,India,Global,Yes,"Thursday, 16 September 2021",Seed,767.03,Nascent,TRUE,FALSE
Shyplite,"ShypLite is a cloud-based shipping management solution for e-retailers. The solution offers a single-window shipping platform integrated with multiple carriers. Other features offered by the solution include single pricing across carriers, no subscription fee for the platform (charged based on items shipped), plugins to integrate the platform with the online store, an automated booking process, and detailed automated tracking capabilities. Tracking plugins are also offered along with the solution that integrated with the web-store lets customers receive real-time updated tracking information of their order. The solution is compatible with shipping carriers such as FedEx, Delhivery, Blue Dart, DTDC, GoJavas, Gati, and ExpressBees.",https://shyplite.com,Transport & Logistics ,Logistics​,(15) Moving the many goods across the world,2015,3,India,Global,Yes,"Wednesday, 9 June 2021",Seed,1.000.000,Emerging,TRUE,FALSE
Airhouse,Provider of the logistics solution for direct-to-consumer eCommerce companies. It's an end-to-end fulfillment solution for eCommerce companies providing from shipping orders to managing inventory. It automates the process of getting products in the hands of customers. It also provides a cloud-based warehouse that maintains all processes.,https://www.airhouse.io/,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2018,0,United States,Global,Yes,"Tuesday, 29 March 2022",Series A,16.500.000,Nascent,TRUE,FALSE
LivingPackets,"LivingPackets is a provider of smart packaging solutions. Its smart packaging includes features like a patented holding system, in-built package weighing system, integrated locks to prevent unauthorised opening, an Eink display for address viewing and updating, expanded polypropylene material, and integrated sensors. Its app enables smartphone connectivity, monitoring and tracking of shipments.",https://livingpackets.com,Transport & Logistics ,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,0,France,Europe,Yes,"Tuesday, 14 April 2020",Series A,5.461.480,Nascent,TRUE,FALSE
Jugnu,App-based B2B supplier of excess inventory products. It enables small and medium businesses and retailers to order their stocks through the mobile application and provide inventory procurement management solutions. The mobile application is available for Android and iOS users.,https://jugnu.pk,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2019,0,Pakistan,Global,Yes,"Thursday, 24 March 2022",Series A,"$25,700,000.00",Nascent,TRUE,FALSE
Xyb2b,"Xyb2b is a B2B cross-border marketplace for maternity, beauty, food products and other fashion accessories. Has more than 4000 SKUs on the platform. Raised 15 million yuan from Eastern bell ventures. Has its own quality checking points in Australia, Europe, Japan and South Korea before shipping the products to China.",https://xyb2b.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2015,0,China,Global,Yes,"Wednesday, 1 May 2019",Series B,"$149,456,883.00",Emerging,TRUE,FALSE
Zax,"Online marketplace offering multi-category products. The product catalog includes footwear, watches, fashion accessories, apparel, beauty, and more. The company provides a mobile application for Android and iOS users where users can search for the products to buy and resell also.",https://www.zaxapp.com.br/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2019,0,Brazil,Global,Yes,"Tuesday, 5 October 2021",Series A,"$8,300,000.00",Nascent,TRUE,FALSE
Direct Create,"Omni-channel marketplace platform offering multi-category handcrafted products. It offers handcrafted products like paintings, jewelry, bags, stationery, furniture, apparel, etc. The platform connects local artisans to a network of designers and buyers to collaborate and co-create handcrafted products.",https://www.directcreate.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2015,0,India,Global,Yes,"Monday, 16 January 2017",Seed,"$18,239.00",Emerging,TRUE,FALSE
TradeSquare,"Online B2B marketplace for multi-category products. The product catalog includes homeware, fashion accessories, pet accessories, toys, etc.",https://www.tradesquare.com.au/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2020,0,Australia,Global,Yes,"Thursday, 20 January 2022",Series A,"$77,500,000.00",Nascent,TRUE,FALSE
MarketForce,"Provider of app-based financial services & B2B retail distribution network. The platform enables consumer brands to deliver essential goods and digital financial services to retailers and consumers. The platform enables B2B retail marketplace to source, order, and pay for inventory digitally, access financing solutions, collect digital payments, and resell digital financial services such as airtime, electricity tokens, and bill payment. The mobile application is available on the Android platform.",https://marketforce.io,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2018,0,Kenya,Global,Yes,"Sunday, 20 February 2022",Series A,"$40,000,000.00",Nascent,TRUE,FALSE
PBP,"Online retailer offering multi-category products. The product catalog includes home decor, lightings, mirrors, accessories, apparel, bags, toys, etc.",https://www.poweredbypeople.com/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2019,0,Kenya,Global,Yes,"Friday, 14 January 2022",Seed,"$7,000,000.00",Nascent,TRUE,FALSE
99Biz,"99Biz helps small and medium enterprises to find a supplier that is also a SME. In its platform the buyer only needs to fill in one buying request and he will receive around 6 quotations of interested suppliers. On the suppliers side, they receive the buying request for free and only have to pay if they want to reply the request. It has two divisions-Brazil Biz which deals with Foreign trade, industrial raw materials and finished products and O Hub which is a supplier of services to businesses.",http://www.99biz.com.br/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2013,0,Brazil,Global,Yes,"Sunday, 1 June 2014",Seed,$0.00,Emerging,TRUE,FALSE
Kozlo,"E-distributor offering multi-category products. The product catalog includes milk, soaps, watches, home care products, green tea bags, etc.",https://kuzlogomla.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2020,0,Egypt,Global,Yes,"Friday, 29 October 2021",Seed,$0.00,Nascent,TRUE,FALSE
Factory Duo Duo Network Technology,"App-based B2B marketplace for multi-category products. Product catalog includes digital home appliances, home utilities, baby care products, beauty care products, maternal & child toys, and more. The listed products have scancodes attached to them which users are required to scan in order to purchase. The app is available for Android users.",http://cddm2c.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2017,0,China,Global,Yes,"Friday, 1 February 2019",Seed,$0.00,Nascent,TRUE,FALSE
konnectbox,"Online B2B marketplace platform offering multi-category fashion accessories. The product offering includes earrings, rings, necklace sets, watches, bangles, nose pins, and more. It also offers a few home decor, handmade apparel, artworks, etc.",https://konnectbox.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,2017,0,India,Global,Yes,"Thursday, 29 July 2021",Seed,"$16,123.00",Nascent,TRUE,FALSE
SmartWorks,"Provider of shared co-working space. It offers desk, conference rooms and meeting rooms on an hourly basis. Companies can also take virtual membership offering reception and virtual addresses. Features include dedicated reception, gofer, legal, IT, and secretarial support, video conference, etc.",https://www.smartworksoffice.com/,Support Services,Expertise & Community,(10) Providing physical spaces for working and selling,2016,46,India,Global,Yes,"Friday, 25 October 2019",Series C,"$43,745,070.00",Emerging,TRUE,FALSE
Mindspace,"Provider of managed co-working spaces. The platform enables users to find personalized and managed co-working spaces. Also, landlords can host/share the property for clients and claim to get earn from it.",https://www.mindspace.me/,Support Services,Expertise & Community,(10) Providing physical spaces for working and selling,2013,0,Israel,Global,Yes,"Wednesday, 24 November 2021",Series C,"$107,000,000.00",Emerging,TRUE,TRUE
